index,number_of_siblings,direct_admission,CCA,learning_style,gender,tuition,final_test,n_male,age,hours_per_week,attendance_rate,sleep_duration
0,0,Yes,Sports,Visual,Female,No,69.0,14.0,16.0,10.0,91.0,8.0
1,2,No,Sports,Auditory,Female,No,47.0,4.0,16.0,7.0,94.0,8.0
2,0,Yes,None,Visual,Male,No,85.0,14.0,15.0,8.0,92.0,8.0
3,1,No,Clubs,Auditory,Female,Yes,64.0,2.0,15.0,18.0,95.0,8.0
4,0,No,Sports,Auditory,Male,No,66.0,24.0,16.0,7.0,95.0,8.0
5,0,No,Arts,Visual,Female,No,57.0,9.0,15.0,11.0,96.0,8.0
6,2,Yes,None,Visual,Male,No,69.0,12.0,16.0,15.0,93.0,8.0
7,0,No,Sports,Visual,Male,No,76.0,20.0,15.0,3.0,97.0,8.0
8,0,No,Arts,Auditory,Male,No,57.0,20.0,15.0,15.0,98.0,8.0
9,2,No,Arts,Auditory,Male,Yes,60.0,13.0,16.0,16.0,95.0,8.0
10,2,Yes,ARTS,Visual,Female,No,72.0,20.0,16.0,10.0,92.0,8.0
11,2,No,Sports,Auditory,Female,No,52.0,15.0,16.0,11.0,91.0,8.0
12,0,No,Sports,Visual,Male,Yes,85.0,14.0,16.0,8.0,95.0,8.0
13,2,No,Sports,Visual,Male,Yes,83.0,17.0,16.0,6.0,90.0,8.0
14,0,Yes,Arts,Auditory,Female,Yes,75.0,14.0,15.0,15.0,98.0,8.0
15,0,No,Clubs,Auditory,Male,No,63.0,17.0,15.0,9.0,100.0,8.0
16,2,No,Clubs,Auditory,Female,No,42.0,5.0,15.0,13.0,96.0,8.0
17,1,No,None,Auditory,Female,Yes,70.0,26.0,15.0,10.0,100.0,8.0
18,1,No,Clubs,Auditory,Male,Yes,56.0,11.0,15.0,5.0,93.0,8.0
19,1,No,Arts,Visual,Male,Yes,79.0,25.0,15.0,8.0,96.0,8.0
20,1,No,Arts,Visual,Female,Yes,59.0,1.0,15.0,9.0,92.0,7.0
21,0,No,None,Visual,Male,Yes,86.0,17.0,16.0,8.0,91.0,7.0
22,0,Yes,Clubs,Visual,Female,No,69.0,17.0,15.0,12.0,95.0,8.0
23,0,No,Clubs,Auditory,Male,Yes,95.0,12.0,15.0,9.0,97.0,8.0
24,0,No,Arts,Visual,Male,No,77.0,23.0,15.0,6.0,93.0,8.0
25,1,No,Clubs,Auditory,Female,No,54.0,20.0,15.0,18.0,95.0,8.0
26,2,Yes,Arts,Visual,Female,No,74.0,6.0,15.0,11.0,96.0,8.0
27,2,No,Clubs,Auditory,Female,No,39.0,15.0,16.0,12.0,81.0,7.0
28,1,No,Arts,Visual,Male,Yes,70.0,10.0,16.0,17.0,95.0,8.0
29,1,Yes,None,Auditory,Male,Yes,88.0,17.0,15.0,6.0,94.0,8.0
31,2,No,None,Visual,Female,Yes,69.0,3.0,15.0,14.0,92.0,8.0
32,1,No,Clubs,Visual,Female,No,78.0,18.0,16.0,8.0,98.0,8.0
33,1,No,Arts,Visual,Male,Yes,60.0,16.0,16.0,9.0,91.0,8.0
34,0,Yes,Sports,Visual,Male,No,78.0,11.0,15.0,5.0,97.0,8.0
35,1,No,Clubs,Visual,Male,No,66.0,15.0,16.0,7.0,96.0,8.0
36,2,No,Arts,Auditory,Female,Yes,58.0,17.0,15.0,9.0,92.0,8.0
37,2,No,Sports,Visual,Female,No,45.0,16.0,15.0,5.0,87.0,8.0
38,1,No,Arts,Auditory,Male,No,53.0,21.0,16.0,10.0,97.0,8.0
39,2,No,Arts,Auditory,Male,No,42.0,10.0,15.0,11.0,55.0,5.0
40,1,No,Arts,Visual,Male,Yes,71.0,10.0,15.0,15.0,91.0,7.0
41,1,Yes,None,Visual,Female,Yes,92.0,2.0,15.0,10.0,95.0,8.0
42,1,No,None,Auditory,Male,Yes,62.0,11.0,16.0,5.0,97.0,8.0
43,0,No,Arts,Auditory,Female,Yes,75.0,16.0,15.0,8.0,97.0,8.0
44,0,No,Clubs,Visual,Female,Yes,81.0,8.0,15.0,10.0,98.0,8.0
45,1,Yes,Arts,Visual,Female,Yes,49.0,30.0,16.0,1.0,64.0,6.0
46,0,Yes,None,Visual,Male,No,82.0,12.0,15.0,5.0,93.0,8.0
47,2,No,Sports,Auditory,Female,Yes,79.0,6.0,16.0,9.0,99.0,8.0
48,0,Yes,Sports,Visual,Male,No,77.0,11.0,15.0,9.0,96.0,8.0
49,1,No,Arts,Visual,Male,No,45.0,23.0,15.0,14.0,94.0,8.0
50,1,No,Arts,Auditory,Female,No,48.0,14.0,15.0,8.0,74.0,7.0
52,2,No,Sports,Auditory,Male,Yes,58.0,16.0,16.0,19.0,91.0,8.0
53,0,No,Arts,Auditory,Female,Yes,63.0,12.0,16.0,8.0,98.0,8.0
54,2,Yes,Arts,Visual,Female,No,78.0,6.0,15.0,7.0,98.0,8.0
55,2,No,None,Visual,Female,No,69.0,15.0,16.0,5.0,96.0,8.0
56,2,No,Sports,Auditory,Female,Yes,54.0,10.0,16.0,16.0,95.0,8.0
57,1,Yes,None,Visual,Female,Yes,95.0,1.0,15.0,9.0,92.0,8.0
58,1,No,Clubs,Visual,Male,No,51.0,19.0,15.0,18.0,95.0,8.0
59,2,No,Sports,Auditory,Female,Yes,60.0,8.0,15.0,16.0,94.0,8.0
60,2,No,Arts,Auditory,Female,Yes,40.0,3.0,5.0,5.0,98.0,8.0
61,1,No,Sports,Auditory,Female,Yes,57.0,24.0,6.0,11.0,95.0,8.0
62,0,Yes,None,Auditory,Male,Yes,85.0,12.0,16.0,8.0,95.0,8.0
63,1,Yes,None,Auditory,Female,Yes,65.0,17.0,15.0,16.0,99.0,8.0
64,1,Yes,Sports,Auditory,Female,Yes,55.0,13.0,16.0,8.0,91.0,8.0
65,1,Yes,None,Visual,Female,Yes,92.0,21.0,15.0,9.0,91.0,8.0
66,1,No,Clubs,Auditory,Male,No,50.0,15.0,16.0,5.0,92.0,8.0
67,0,No,Sports,Auditory,Female,Yes,55.0,8.0,16.0,7.0,96.0,8.0
68,0,No,None,Auditory,Male,Yes,94.0,10.0,16.0,7.0,92.0,8.0
69,1,No,Sports,Auditory,Female,Yes,60.0,3.0,15.0,17.0,91.0,8.0
70,1,Yes,Clubs,Auditory,Female,No,56.0,15.0,16.0,7.0,91.0,8.0
71,1,Yes,None,Auditory,Male,No,76.0,11.0,16.0,3.0,93.0,8.0
72,0,Yes,None,Auditory,Male,No,79.0,13.0,15.0,6.0,91.0,8.0
73,1,No,Clubs,Visual,Male,No,53.0,30.0,16.0,7.0,96.0,8.0
74,1,No,Clubs,Auditory,Male,Yes,48.0,10.0,15.0,6.0,97.0,8.0
75,2,Yes,Sports,Visual,Male,No,72.0,11.0,15.0,8.0,90.0,8.0
76,0,Yes,Sports,Visual,Female,No,49.0,12.0,16.0,14.0,55.0,5.0
77,1,No,Arts,Auditory,Male,Yes,58.0,14.0,15.0,15.0,98.0,8.0
78,2,No,Arts,Auditory,Female,Yes,76.0,20.0,15.0,8.0,92.0,8.0
79,2,Yes,None,Visual,Male,No,83.0,16.0,15.0,8.0,95.0,8.0
80,0,No,Clubs,Visual,Female,Yes,53.0,4.0,16.0,14.0,97.0,8.0
81,0,No,Clubs,Auditory,Male,No,57.0,24.0,5.0,6.0,96.0,8.0
82,0,Yes,None,Visual,Female,Yes,70.0,1.0,5.0,10.0,96.0,8.0
83,1,No,Arts,Auditory,Female,Yes,52.0,21.0,6.0,8.0,95.0,8.0
84,1,No,Arts,Visual,Female,No,50.0,16.0,16.0,18.0,95.0,8.0
85,0,No,Arts,Auditory,Female,Yes,94.0,18.0,16.0,8.0,95.0,8.0
86,1,No,Sports,Auditory,Female,No,48.0,7.0,15.0,14.0,92.0,8.0
87,0,Yes,None,Visual,Male,No,82.0,15.0,15.0,9.0,93.0,8.0
88,1,Yes,Sports,Visual,Female,Yes,67.0,8.0,15.0,7.0,95.0,8.0
89,0,No,Clubs,Auditory,Female,Yes,66.0,16.0,16.0,17.0,92.0,8.0
90,0,No,None,Visual,Female,Yes,89.0,16.0,15.0,7.0,95.0,8.0
91,2,No,Arts,Auditory,Male,Yes,71.0,19.0,16.0,8.0,92.0,8.0
92,2,No,None,Visual,Male,Yes,60.0,22.0,15.0,15.0,91.0,8.0
93,1,Yes,None,Visual,Female,Yes,93.0,3.0,16.0,5.0,96.0,8.0
94,0,No,None,Auditory,Male,Yes,87.0,19.0,16.0,7.0,96.0,8.0
95,0,No,None,Auditory,Female,No,88.0,7.0,16.0,7.0,97.0,8.0
96,1,No,Sports,Auditory,Male,Yes,63.0,18.0,15.0,13.0,100.0,8.0
97,0,No,None,Visual,Male,No,79.0,13.0,16.0,5.0,94.0,8.0
98,1,No,Clubs,Auditory,Male,Yes,56.0,12.0,16.0,8.0,99.0,8.0
99,0,No,None,Visual,Male,Yes,94.0,20.0,15.0,9.0,95.0,8.0
100,1,No,Clubs,Auditory,Female,No,47.0,20.0,15.0,9.0,61.0,4.0
101,1,No,Sports,Auditory,Female,No,54.0,3.0,15.0,15.0,93.0,8.0
102,1,No,Clubs,Auditory,Female,Yes,64.0,7.0,16.0,6.0,99.0,8.0
103,2,No,Clubs,Auditory,Female,Yes,51.0,15.0,15.0,6.0,95.0,8.0
104,1,No,Arts,Auditory,Female,No,55.0,14.0,16.0,7.0,93.0,8.0
105,1,No,Clubs,Auditory,Male,Yes,74.0,18.0,15.0,9.0,96.0,8.0
106,2,No,Sports,Auditory,Female,Yes,46.0,10.0,15.0,9.0,81.0,7.0
107,1,No,Sports,Visual,Male,Yes,53.0,30.0,15.0,10.0,91.0,8.0
108,0,No,None,Visual,Male,No,65.0,22.0,15.0,19.0,99.0,8.0
109,2,No,Clubs,Auditory,Female,No,52.0,15.0,16.0,15.0,95.0,8.0
110,1,No,Sports,Visual,Female,No,46.0,21.0,15.0,11.0,77.0,7.0
111,0,Yes,Sports,Visual,Female,No,83.0,14.0,16.0,7.0,95.0,8.0
112,2,No,Sports,Auditory,Female,No,46.0,7.0,15.0,4.0,52.0,5.0
113,1,No,Clubs,Auditory,Female,Yes,52.0,22.0,15.0,17.0,93.0,8.0
114,0,Yes,Clubs,Auditory,Female,No,72.0,17.0,6.0,10.0,97.0,8.0
115,1,No,Arts,Auditory,Male,Yes,66.0,18.0,15.0,14.0,97.0,8.0
116,0,No,Sports,Auditory,Female,No,69.0,3.0,15.0,18.0,99.0,8.0
117,1,Yes,None,Auditory,Male,Yes,78.0,18.0,16.0,9.0,95.0,8.0
118,0,No,None,Visual,Male,Yes,84.0,14.0,15.0,9.0,98.0,8.0
119,1,No,Arts,Auditory,Female,No,63.0,0.0,15.0,18.0,93.0,8.0
120,0,No,SPORTS,Visual,Female,No,73.0,5.0,16.0,18.0,99.0,8.0
121,0,Yes,None,Visual,Male,Yes,85.0,15.0,16.0,9.0,96.0,8.0
122,1,No,Arts,Auditory,Female,Yes,71.0,21.0,16.0,9.0,97.0,8.0
123,1,No,Sports,Visual,Female,Yes,46.0,1.0,15.0,13.0,90.0,8.0
124,2,No,Sports,Auditory,Female,Yes,62.0,10.0,16.0,9.0,92.0,8.0
125,2,No,Sports,Auditory,Female,Yes,76.0,11.0,16.0,10.0,94.0,8.0
126,1,No,Sports,Visual,Male,Yes,65.0,12.0,16.0,19.0,94.0,8.0
127,1,Yes,None,Visual,Male,Yes,91.0,14.0,16.0,9.0,91.0,7.0
128,1,No,Sports,Auditory,Male,No,38.0,19.0,16.0,3.0,51.0,5.0
129,0,No,Sports,Visual,Male,Yes,96.0,12.0,15.0,8.0,98.0,8.0
